lang_name			Italiano
about_2				In ciascuno dei pezzi di cristallo è scolpita una lettera di Nisled o un algarismo e, combinando pezzi simili, si diffonde molta energia, rivelando parte della conoscenza lasciata da quella civiltà. Quindi, ConnecMan ha deciso di viaggiare da un'isola all'altra, combinando pezzi di cristallo per saperne di più. Ed ecco la tua parte in questa storia: aiuta ConnecMan a decifrare gli enigmi di Nisled e impara anche tu questo linguaggio eccentrico!
no_players			Nessun giocatore nella Hall of Fame
credits_info		Design, programmazione, grafica e musica di:\nVictor David Santos\n\nUn ringraziamento speciale a:\nJoão Carlos dos Santos\nNathália David Santos\nYuri David Santos\nZuleica Hiromi Alves\n\nIn memoria di\nLuiz Carlos dos Santos
world_1				Isola dell'Hard Rock 
world_2				Isola del Cielo Nuvoloso
world_3				Isola del Lago Gelato
world_4				Isola Vulcanica
world_5				Isola dei Quattro Pilastri
player				GIOCATORE: 
score				PUNTEGGIO: 
status				Stato
level				Livello 
worlds_unlocked		Mondi sbloccati
crystals_collected	Cristalli raccolti
crystal_0			Terra
crystal_1			Aria
crystal_2			Acqua
crystal_3			Fuoco
nisled_alphabet		Alfabeto Nisled/numeri
ok					OK
menu				MENU
paused				GIOCO IN PAUSA
restart				RIAVVIA
resume				RIPRENDI
confirm				SEI SICURO?
yes					Si
no					No
time				TEMPO: 
time_up				 (TIME UP)
no_moves_left		NESSUN MOVIMENTO RIMAsto!
level_completed		LIVELLO COMPLETATO!
time_bonus			TIME BONUS: 
items_bonus			OGGETTI BONUS NON UTILIZZATI: 
total				TOTALE: 
new_high_score		NUOVO RECORD!
new_letters			NUOVE LETTERE NISLED APPRESE!
world_completed		 - Scena completata!
bonus_message		Hai scoperto una nuova parola Nisled: '$', che significa '$'.\nI pezzi bianchi si sono fusi in un grande cristallo, il $ cristallo!
click_to_continue	Clicca per continuare
press_to_continue	Premi la barra spaziatrice per continuare
type_name			Scrivi un nome:
save				Salva
dont_save			Non salvare
overwrite_confirm	Esiste già un gioco chiamato '$'. Vuoi sovrascriverlo?
game_saved			Gioco salvato con successo.
message_title_1		Pezzi di collegamento
message_title_2		Blocchi di ghiaccio
message_title_3		Collegati due volte!
message_title_4		Trasmettitore d'onda
message_title_5		Clessidra
message_title_6		Pezzi bianchi e dinamite
message_title_7		Pezzi di metallo
message_title_10	Pezzi mobili
message_title_25	La sfida finale!
message_1			Seleziona un pezzo e poi selezionane un altro con lo stesso colore e simbolo. Il collegamento tra loro, una 'linea di energia', può essere composto al massimo da tre segmenti. I blocchi di pietra bloccheranno le linee di energia.
message_2			I blocchi di ghiaccio funzionano allo stesso modo dei blocchi di pietra, ma possono essere eliminati collegando i pezzi attorno a loro.
message_3			Alcuni pezzi devono essere collegati ad altri due per essere eliminati.
message_4			Quando non è possibile formare una linea di energia tra due pezzi, può tornare utile un Trasmettitore d'Onda (tasto di scelta rapida W): trasmette l'energia necessaria per creare la connessione tra due pezzi, indipendentemente dalla loro posizione.
message_5			Non abbastanza tempo? Quindi, basta fermarlo per alcuni secondi, utilizzando una clessidra (tasto di scelta rapida H).
message_6			Quando vedi i pezzi bianchi sul tabellone, il tuo obiettivo è diverso: devi solo eliminarli, senza preoccuparti degli altri pezzi. Tuttavia, per farlo, devi connetterli tutti in una volta e nell'ordine corretto. E qui arriva un altro oggetto: le dinamite (tasto di scelta rapida D) possono distruggere qualsiasi cosa sul tabellone, tranne i comuni blocchi di pietra e, poiché non vuoi rendere impossibili determinati livelli, i pezzi bianchi.
message_7			Oooooh... Che scintillanti pezzi di cristallo! Questi pezzi simili al metallo sono più preziosi, ma con il tempo diventeranno quasi come pezzi comuni. Quelli d'oro sono i più pregiati, seguiti dall'argento e poi dal bronzo.
message_10			Alcuni pezzi possono essere spostati in determinate direzioni, contrassegnate da piccole frecce sul bordo. Per spostare un pezzo, fai clic su di esso e poi in uno spazio vuoto attorno ad esso, poiché è in una direzione in cui questo pezzo può muoversi.
message_25			Dopo aver raccolto i cristalli dei quattro elementi, ConnecMan parte per l'ultima isola, dove trova uno strano tempio. Quindi si rende conto di essere davanti all'ultimo enigma lasciato dalla civiltà Nisled. Non lasciarti intimidire dalle dimensioni di questo puzzle e metti al lavoro il tuo cervello!
finish_message		CONGRATULAZIONI!\nIL TUO VIAGGIO È COMPLETO!
finish_message2		ORA PUOI ENTRARE NELLA HALL OF FAME.
