lang_name			Español
hall_of_fame		Salón de la Fama
credits				Créditos
about_0				ConnecMan es un explorador que decidió hacer un recorrido por las misteriosas islas de Nisland. Allí se encuentra la huella de una antigua civilización, que al parecer había una rica cultura, que fue escrita en extraños cristales. Su objetivo es desentrañar los misterios de esa civilización y descifrar el lenguaje, que él llamó 'Nisled.'
about_1				Continuando el estudio de las piezas de cristal, que emanaban una energía fuerte, ConnecMan se da cuenta de que el lenguaje es muy interesante: tiene un alfabeto propio, así como los símbolos más complejos, que a menudo se utiliza para representar, por sí mismo, una palabra.
about_2				En cada cristal tiene una letra o un número Nisled registrados, y combinandose cristales iguales, una grande energía es puesta en libertad, que contiene una porción de los conocimientos dejados por esa civilización. Así ConnecMan decide viajar por las distintas islas en busca de más conocimiento, combinando todas las piezas de cristal que encuentre. Y aquí viene tu parte en esta historia: ayudar ConnecMan a descifrar los rompecabezas y aprender Nisled, este lenguaje inusual, ¡usted también!
no_players			Ningún jugador en el Salón de la Fama
credits_info		Diseño, programación, gráficos y música de:\nVictor David Santos\n\nAgradecimientos especiales:\nJoão Carlos dos Santos\nNathália David Santos\nYuri David Santos\nZuleica Hiromi Alves\n\nEn memória de\nLuiz Carlos dos Santos
world_1				Isla de Hard Rock
world_2				Isla de Cielo Nublado
world_3				Isla de Lago Frío
world_4				Isla de Volcaña
world_5				Isla de los Cuatro Pilares
player				JUGADOR: 
score				PUNTOS: 
status				Status
level				Nivel 
worlds_unlocked		Escenarios visitados
crystals_collected	Cristales recogidos
crystal_0			Tierra
crystal_1			Aire
crystal_2			Agua
crystal_3			Fuego
nisled_alphabet		Alfabeto/números Nisled
ok					OK
menu				MENU
paused				JUEGO EN PAUSA
restart				REANUDAR
resume				CONTINUAR
confirm				¿ESTÁS SEGURO?
yes					Sí
no					No
time				TIEMPO: 
time_up				¡TIEMPO AGOTADO!
no_moves_left		¡NINGÚN MOVIMIENTO POSIBLE!
level_completed		¡NIVEL COMPLETADO!
time_bonus			BONO POR TIEMPO: 
items_bonus			BONO POR ÍTENES NO UTILIZADOS: 
total				TOTAL: 
new_high_score		¡NUEVO RECORD!
new_letters			¡NUEVAS LETRAS NISLED DESCUBIERTAS!
world_completed		 - ¡Etapa Completa!
bonus_message		Has descubierto una nueva palabra en Nisled: '$', que significa '$'. Las piezas blancas se han fusionado en un grande cristal, ¡el cristal de $!
click_to_continue	Haga clic para continuar
press_to_continue	Pulse la barra espaciadora para continuar
type_name			Escribe un nombre
save				Guardar
dont_save			No guardar
overwrite_confirm	Ya existe un juego llamado '$'. ¿Deseas sustituirlo?
game_saved			Juego guardado con éxito.
message_title_1		Conectando piezas
message_title_2		Bloques de hielo
message_title_3		¡Conecta dos veces!
message_title_4		Transmisor de onda
message_title_5		Reloj de Arena
message_title_6		Piezas Blancas y dinamitas
message_title_7		Piezas metálicas
message_title_10	Moviendo piezas
message_title_25	¡El desafío final!
message_1			Seleccione una pieza y luego otra con el mismo color y mismo símbolo. La conexión formado, una 'línea de energía', puede estar compuesto por un máximo de tres segmentos. Los bloques de piedra bloquean líneas de energía.
message_2			Los bloques de hielo actúan como la piedra, pero se pueden eliminar mediante la conexión de las piezas que están muy cerca.
message_3			Algunas piezas necesitan ser conectadas dos veces para ser eliminadas.
message_4			Cuando no se puede construir una línea de energía entre duas piezas, el transmisor de onda (tecla de acceso W) puede ser útil: transmite a través de ondas la energía necesaria para la conexión, independientemente de las posiciones de las piezas.
message_5			¿No hay tiempo suficiente? Da una breve parada, usando un Reloj de Arena (tecla de acceso H).
message_6			Cuando vea las piezas blancas, el objetivo es diferente: eliminarlos, podendo eliminar, o no, las otras. Pero para ello es necesario conectar todos a la vez, y en el orden correcto. Y aquí hay otro elemento: la Dinamita (tecla de acceso D), que puede destruir cualquier elemento de la pantalla, excepto las piedras (cuando no dividida), y las piezas blancas, que acabamos de ver.
message_7			Ooooh... ¡que cristales hermosos y brillantes! Estas piezas de metal valen más puntos, pero con el tiempo pueden llegar a ser solo un poco más valiosas que las comunes. Las doradas son las más valiosas, seguidas por plata y después por bronce.
message_10			Algunas piezas pueden moverse en ciertas direcciones, indicado por flechas amarillas en el borde. Para mover una pieza, haga clic en él y luego un espacio en blanco alrededor de él, ya que en una dirección en la que esta pieza se puede mover.
message_25			Después de haber recogido los cristales de los cuatro elementos, parte ConnecMan a la última isla, donde se encuentra un templo extraño. A continuación se da cuenta de que está ante el enigma último que dejó la civilización Nisled. No sea intimidado por el tamaño de este rompecabezas, ¡y pone su cerebro a trabajar!
